name,engName,activeIngredient,treatmentForm,treatmentCodeName,brand,in_stock,price,newItem,CBD,THC
ספיר,BCANN ROLL SPR T15C3 SAT,T15C3,גליליות,תפרחת SATIVA T15 C3,בזלת,1,229,,0,18.4
אופל,BCANN ROLL OPAL T15C3 IN,T15C3,גליליות,תפרחת INDICA T15 C3,בזלת,1,229,,0,17.1
ביקאן,BCANN OIL T15C3,T15C3,שמן,מיצוי BLEND T15 C3,בזלת,1,236,,0,0
ביקאן,BCANN OIL SAT T15C3,T15C3,שמן,מיצוי SATIVA T15 C3,בזלת,1,236,,0,0
ביקאן אם סי טי,BCANN MCT T15C3 IND OIL,T15C3,שמן,מיצוי INDICA T15 C3,ביקאן,1,236,,0,0
אקסיבן,AXIBAN DROPS T15C3 10GR,T15C3,שמן,מיצוי BLEND T15 C3,רפא,1,239,,0,0
שמן תכלת רליף,SEACH TCHERELOIL T15C3S,T15C3,שמן,מיצוי SATIVA T15 C3,שיח,1,199,,0,0
שוהם,BCANN FLSHM T10C2 IND,T10C2,תפרחת,תפרחת INDICA T10 C2,בזלת,1,189,,0,14.1
צור,BCANN FLZUR T10C2 SAT,T10C2,תפרחת,תפרחת SATIVA T10 C2,בזלת,1,209,,0,13.6
שוהם גליליות,BCANN ROLL SHM T10C2 IND,T10C2,גליליות,תפרחת INDICA T10 C2,בזלת,1,209,,0,12.3
ביקאן,BCANN OIL T10C2,T10C2,שמן,מיצוי BLEND T10 C2,בזלת,1,222,,0,0
שמן אינדיקה  TCM 01T,BCANN MCT T10C2 IND OIL,T10C2,שמן,מיצוי INDICA T10 C2,ביקאן,1,222,,0,0
שמן סאטיבה   TCM 01T,BCANN MCT T10C2 SAT OIL,T10C2,שמן,מיצוי SATIVA T10 C2,ביקאן,1,222,,0,0
אקסיבן,AXIBAN DROPS T10C2 10GR,T10C2,שמן,מיצוי BLEND T10 C2,רפא,1,204.8,,0,0
ילוסטון,SEACH B YELLOWSTON T10C10,T10C10,תפרחת,תפרחת BLEND T10 C10,שיח,1,269,,11.1,14.3
גלילאו,CSURE GALLIEO T10C10,T10C10,תפרחת,תפרחת BLEND T10 C10,קנאשור,1,259,,12.7,10.5
דיסקברי,INFL T10C10 DISCOVERY HYB,T10C10,תפרחת,תפרחת BLEND T10 C10,טוגדר,1,249,,13.1,9.5
ליברה,TO LIBRA JAR T10C10 FL,T10C10,תפרחת,תפרחת BLEND T10 C10,תיקון עולם,1,269,,10,9
באלאנס 01C01T,TO T10C10 BALANCE BLEND,T10C10,תפרחת,תפרחת BLEND T10 C10,תיקון עולם,1,199,,14,9
ארגמן,NITZAN B T10C10 ARGAMAN,T10C10,תפרחת,תפרחת BLEND T10 C10,שיח,1,249,,9.8,8
דואט,SEVEN DUET T10C10 SAT,T10C10,תפרחת,תפרחת SATIVA T10 C10,SEVEN,1,277,,8,7
ריוולט,RIVULET JAR T10C10 FL,T10C10,תפרחת,תפרחת BLEND T10 C10,קנאביס פארם,1,229,,10,7
מידנייט  GN,TO T10C10 MIDNIGHT NG FL,T10C10,תפרחת,תפרחת BLEND T10 C10,תיקון עולם,1,229,,11,7
מיני נובה,NOVA MINI T10C10 IND,T10C10,תפרחת,תפרחת BLEND T10 C10,גרינקום,1,219,,0,0
שמן פמיקאןTCM 01C01T I,FEMMICAN MCT T10C10I OIL,T10C10,שמן,מיצוי INDICA T10 C10,בזלת,1,262,,0,0
בקאן ספשבי 01C01T,BCANN MCT SP B 1414S OIL,T10C10,שמן,מיצוי SATIVA T10 C10,בזלת,1,350,,0,0
ביקאן,BCANN OIL T10C10,T10C10,שמן,מיצוי BLEND T10 C10,בזלת,1,262,,0,0
שמן בקאן ספיישל בי,BCANN MCT SP B 1414I OIL,T10C10,שמן,מיצוי INDICA T10 C10,ביקאן,1,350,,0,0
שמן בקאן 01C01T,BCANN MCT T10C10 SATOIL,T10C10,שמן,מיצוי SATIVA T10 C10,ביקאן,1,262,,0,0
מנטה,MEDCANOIL T10C10 MINT,T10C10,שמן,מיצוי BLEND T10 C10,פיס נטורלס,1,264,,0,0
אקסיבן,AXIBAN DROPS T10C10 10GR,T10C10,שמן,מיצוי BLEND T10 C10,רפא,1,239,,0,0
